,club,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments
32,Feyenoord,2098.0,2413.0,2036.0,1465.0,1105.0,1420.0,1227.0,1797.0,1877.0,1663.0,1426.0,903.0,472.0,,,,,,,,,,,,,,
33,Werder Bremen,2049.0,1809.0,1501.0,1502.0,1261.0,1997.0,2026.0,3953.0,3454.0,2068.0,1573.0,1282.0,,,,,,,,,,,,,,,
34,Atlético Madrid,1998.0,2006.0,1871.0,2239.0,2554.0,2610.0,3609.0,5128.0,6583.0,3751.0,2759.0,2587.0,1266.0,1085.0,620.0,896.0,1140.0,634.0,,,,764.0,,,,,
35,AS Roma,1934.0,2298.0,2530.0,1807.0,2982.0,5573.0,4768.0,4268.0,5159.0,3404.0,2741.0,2293.0,,,,,,,,,,,,,,,
36,Watford,1722.0,2525.0,1401.0,3332.0,2662.0,2735.0,2729.0,2584.0,2898.0,2475.0,2450.0,1796.0,,,,,,,,,,,,,,,
37,Leeds United,1690.0,1945.0,1222.0,1581.0,1685.0,1650.0,1936.0,2888.0,3752.0,2553.0,1826.0,1500.0,,,,,,,,,,,,,,,
38,Portugal,1635.0,1707.0,3462.0,1270.0,1537.0,1816.0,2183.0,14035.0,8561.0,2338.0,2026.0,1888.0,,,,,,,,,,,,,,,
39,Middlesbrough,1607.0,1696.0,883.0,811.0,852.0,966.0,1482.0,,2129.0,1547.0,985.0,782.0,,,,,,,,,,,,,,,
40,France,1583.0,1548.0,2096.0,1969.0,1971.0,1625.0,2682.0,20619.0,26430.0,4668.0,6577.0,5198.0,,,,,,,,,,,,,,,
41,Colombia,1564.0,1233.0,2050.0,1617.0,1625.0,1877.0,2067.0,6390.0,7554.0,1311.0,1038.0,982.0,,,,,,,,,,,,,,,
42,Olympique Lyonnais,1536.0,895.0,1715.0,2982.0,3556.0,2836.0,4272.0,3701.0,6525.0,2694.0,3587.0,3411.0,,,,,,,,,,,,,,,
43,Aston Villa,1479.0,1541.0,1537.0,1661.0,1542.0,1740.0,2330.0,2772.0,3288.0,1833.0,1288.0,1331.0,,,,,,,,,,,,,,,
44,Beşiktaş,1464.0,1442.0,1635.0,2709.0,2763.0,1818.0,1947.0,,1745.0,1861.0,1638.0,1156.0,,,,,,,,,,,,,,,
45,The Netherlands,1433.0,1416.0,1276.0,831.0,901.0,1284.0,1155.0,2826.0,3799.0,1083.0,871.0,966.0,625.0,577.0,,,960.0,951.0,967.0,,,,,667.0,608.0,594.0,
46,KV Mechelen,1393.0,1739.0,1226.0,1430.0,1292.0,1863.0,,2014.0,2352.0,1117.0,649.0,1059.0,,,,,,,,,,,,,,,
47,Mexico,1324.0,912.0,5021.0,670.0,767.0,1096.0,1026.0,13178.0,12630.0,1521.0,1798.0,1023.0,,,,,,,,,1088.0,,,,,,
48,Toronto FC,1307.0,994.0,1884.0,1707.0,2877.0,2953.0,2181.0,3234.0,3847.0,2009.0,1805.0,1473.0,,,,,,,,,,,,,,,
49,Wales,1304.0,1045.0,863.0,1180.0,932.0,1495.0,1696.0,2390.0,1580.0,1063.0,1592.0,1054.0,,,,,,,,,,,,,,,
50,Swansea City,1288.0,1607.0,1377.0,1545.0,1127.0,1091.0,1347.0,1464.0,,963.0,655.0,,,,,,,,,,,,,,,,
51,FC Porto,1282.0,1445.0,3091.0,4324.0,2939.0,2810.0,3376.0,5358.0,4303.0,3673.0,3456.0,3068.0,,,,,,,,,,,,,,,
52,Brighton &amp; Hove Albion,1178.0,838.0,,1104.0,1262.0,1387.0,1729.0,1739.0,2297.0,2150.0,1498.0,1408.0,,,,,,,,,,,,,,,
53,Birmingham City,1159.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,
54,Minnesota United,1152.0,838.0,,530.0,,,,1873.0,1791.0,697.0,,,,,,,,,,,,,,,,,
55,Rangers,1121.0,702.0,953.0,779.0,858.0,858.0,1387.0,1635.0,1798.0,1882.0,2235.0,1527.0,,,,,,,,,,,,,,,
56,Spain,1120.0,631.0,1926.0,844.0,1568.0,1872.0,3465.0,8720.0,5577.0,1145.0,1366.0,1478.0,,,,,,,,,,,,,,,
57,Boca Juniors,1106.0,1158.0,1171.0,1074.0,1387.0,1034.0,1114.0,2143.0,2591.0,726.0,1104.0,893.0,,,,,,,,,,,,,,,
58,Italy,1032.0,964.0,2123.0,548.0,,756.0,826.0,2032.0,2525.0,794.0,,,,,,,,,,,,,,,,,
59,Bournemouth,1016.0,827.0,664.0,949.0,1074.0,984.0,954.0,,,1119.0,838.0,598.0,529.0,697.0,550.0,,,,,,,,,,,,
60,PSV Eindhoven,998.0,1328.0,1408.0,877.0,1019.0,1096.0,1204.0,1717.0,1883.0,2036.0,2431.0,1508.0,,,,,,,,,,,,,,,
61,VfB Stuttgart,989.0,852.0,897.0,780.0,890.0,810.0,1233.0,,,604.0,,705.0,,,,,,,,,,,,,,,
62,Chapecoense,980.0,770.0,,,,,,,,,,,,,,,,,,,,,,,,,
63,Argentina,968.0,836.0,1535.0,1293.0,1851.0,1471.0,2154.0,8745.0,8869.0,1562.0,1087.0,1043.0,,,,,,,,,,,,,,,
64,AFC Wimbledon,958.0,,,629.0,,,,,,876.0,1007.0,583.0,,,,,,,,,,,,,,,
65,West Bromwich Albion,927.0,738.0,,1625.0,1063.0,1474.0,1594.0,,1577.0,907.0,711.0,553.0,,,,,,,,,,,,,,,
66,Monaco,923.0,1101.0,1050.0,,,725.0,,,,,,,,,,,,,,,,,,,,,
67,Dinamo Zagreb,908.0,1013.0,834.0,,,,,,1515.0,,,,,,,,,,,,,,,,,,
68,River Plate,899.0,610.0,732.0,853.0,1318.0,1040.0,1133.0,2249.0,2991.0,785.0,1126.0,724.0,,,,,,,,,,,,,,,
69,Galatasaray,882.0,,757.0,1356.0,1265.0,1144.0,1421.0,1844.0,2048.0,1016.0,1180.0,684.0,,,,,,,,,,,,,,,
