,club,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments_x,comments_y,comments
189,:England:,,,,,,,,,,,,,4978.0,5878.0,5931.0,5979.0,7479.0,6692.0,8128.0,6722.0,6089.0,7225.0,5427.0,4781.0,4444.0,4589.0,3939.0
190,:AC_Milan:,,,,,,,,,,,,,4811.0,4307.0,5429.0,7987.0,7499.0,5905.0,8244.0,7530.0,7279.0,7580.0,6322.0,5837.0,4674.0,4977.0,6120.0
191,:Celtic:,,,,,,,,,,,,,3783.0,3772.0,2505.0,2522.0,4198.0,2445.0,3650.0,3077.0,2731.0,2989.0,2904.0,2421.0,2830.0,2640.0,2070.0
192,:France:,,,,,,,,,,,,,3581.0,3454.0,2535.0,3468.0,3377.0,2475.0,2656.0,3025.0,3231.0,2708.0,2341.0,1675.0,1121.0,1370.0,1098.0
193,:Bayern_Munich:,,,,,,,,,,,,,3545.0,4401.0,4341.0,6632.0,7815.0,6725.0,9031.0,8940.0,9475.0,11674.0,9070.0,8757.0,9010.0,8473.0,5671.0
194,:Everton:,,,,,,,,,,,,,3538.0,4165.0,3938.0,3913.0,4856.0,4607.0,6018.0,5416.0,6969.0,9485.0,5039.0,3522.0,5015.0,5998.0,5416.0
195,:Paris_Saint-Germain:,,,,,,,,,,,,,3152.0,4122.0,4174.0,6477.0,4530.0,3190.0,3666.0,4147.0,5438.0,5836.0,4949.0,3352.0,2937.0,3366.0,2992.0
196,:Sporting_Clube_de_Portug:,,,,,,,,,,,,,2964.0,2870.0,2058.0,2405.0,2702.0,2213.0,2575.0,2925.0,2563.0,3152.0,3600.0,2409.0,1623.0,2288.0,2120.0
197,:Olympique_Lyonnais:,,,,,,,,,,,,,2865.0,4343.0,3821.0,4102.0,3709.0,2690.0,3152.0,3392.0,3350.0,2870.0,1869.0,2488.0,1857.0,2403.0,2236.0
198,:Internazionale:,,,,,,,,,,,,,2850.0,3321.0,2912.0,3408.0,4525.0,3541.0,3607.0,5218.0,6199.0,6085.0,6814.0,4704.0,4808.0,4515.0,4196.0
199,:Benfica:,,,,,,,,,,,,,2837.0,2847.0,2622.0,3841.0,5350.0,4945.0,5154.0,6183.0,5116.0,5168.0,4859.0,3680.0,3308.0,4171.0,4416.0
200,:Newcastle_United:,,,,,,,,,,,,,2766.0,3616.0,4435.0,4805.0,4864.0,4467.0,5787.0,5187.0,5693.0,4273.0,3569.0,3504.0,3328.0,4291.0,3538.0
201,:FC_Porto:,,,,,,,,,,,,,2727.0,3339.0,3135.0,3211.0,4206.0,4430.0,3721.0,4192.0,2918.0,3176.0,3100.0,2462.0,1686.0,2504.0,1897.0
202,:West_Ham_United:,,,,,,,,,,,,,2376.0,2610.0,3247.0,3027.0,2748.0,2481.0,3420.0,2962.0,4246.0,3253.0,2382.0,2528.0,1855.0,2487.0,2697.0
203,:Leicester_City_FC:,,,,,,,,,,,,,2152.0,2321.0,2966.0,2512.0,3639.0,2762.0,4676.0,2124.0,2961.0,3327.0,2895.0,3564.0,4345.0,4976.0,4601.0
204,:PSV_Eindhoven:,,,,,,,,,,,,,1918.0,1812.0,1154.0,1681.0,1475.0,1469.0,1664.0,1364.0,1508.0,2214.0,1718.0,1773.0,1750.0,1487.0,846.0
205,:AS_Roma:,,,,,,,,,,,,,1857.0,2095.0,1613.0,1882.0,2216.0,1447.0,1888.0,2039.0,2022.0,1466.0,1906.0,1863.0,2042.0,1508.0,1482.0
206,:Watford_FC:,,,,,,,,,,,,,1813.0,2520.0,2782.0,2764.0,3190.0,3079.0,3668.0,1864.0,2187.0,2512.0,2220.0,1930.0,2693.0,2640.0,2510.0
207,:Napoli:,,,,,,,,,,,,,1801.0,1485.0,1394.0,1790.0,1740.0,1646.0,1728.0,2882.0,2374.0,2080.0,2101.0,1177.0,1605.0,1702.0,1070.0
208,:Boca_Juniors:,,,,,,,,,,,,,1763.0,1606.0,1050.0,1480.0,1260.0,1356.0,1655.0,1645.0,2841.0,1757.0,1860.0,1627.0,1213.0,1474.0,1259.0
209,:Crystal_Palace_FC:,,,,,,,,,,,,,1756.0,2829.0,2579.0,2164.0,2077.0,2169.0,2559.0,2130.0,2390.0,2652.0,2563.0,2211.0,1821.0,2290.0,2262.0
210,:Liverpool_Futbol_Club:,,,,,,,,,,,,,1749.0,1990.0,1493.0,1656.0,1965.0,2140.0,2823.0,1944.0,,698.0,857.0,,778.0,1121.0,1172.0
211,:Republic_of_Ireland:,,,,,,,,,,,,,1738.0,2032.0,2019.0,1810.0,2466.0,2480.0,2930.0,2378.0,1832.0,2241.0,2704.0,1956.0,1741.0,2001.0,1507.0
212,:Southampton:,,,,,,,,,,,,,1719.0,2171.0,2590.0,1957.0,2458.0,2284.0,2241.0,1843.0,1770.0,1987.0,1766.0,2024.0,2063.0,2086.0,2870.0
213,:Sunderland:,,,,,,,,,,,,,1628.0,2218.0,2187.0,1720.0,1613.0,1369.0,1627.0,1179.0,967.0,1138.0,1241.0,1119.0,705.0,1120.0,1279.0
214,:Germany:,,,,,,,,,,,,,1579.0,2202.0,1586.0,1985.0,2493.0,2090.0,1984.0,1856.0,1701.0,1345.0,1076.0,1157.0,1088.0,1154.0,718.0
215,:Rangers:,,,,,,,,,,,,,1568.0,1350.0,1455.0,950.0,1146.0,880.0,1110.0,1156.0,1147.0,1035.0,1375.0,1027.0,1306.0,1516.0,1763.0
216,:River_Plate:,,,,,,,,,,,,,1554.0,2356.0,806.0,982.0,1087.0,942.0,1284.0,2025.0,2626.0,1346.0,1332.0,1139.0,973.0,1099.0,996.0
217,:Leeds_United:,,,,,,,,,,,,,1507.0,1740.0,3827.0,2551.0,3278.0,3335.0,4885.0,3008.0,2732.0,2691.0,2726.0,2310.0,1788.0,1863.0,3178.0
218,:Atletico_Madrid:,,,,,,,,,,,,,1371.0,1513.0,1313.0,1767.0,2079.0,2010.0,2019.0,1761.0,3605.0,2894.0,2907.0,2007.0,2067.0,2821.0,2645.0
219,:Aston_Villa:,,,,,,,,,,,,,1266.0,1566.0,1666.0,1452.0,1860.0,2167.0,4344.0,3367.0,3420.0,3315.0,2226.0,2112.0,2664.0,2424.0,3303.0
220,:Spain:,,,,,,,,,,,,,1261.0,1032.0,780.0,1328.0,1816.0,1200.0,1208.0,1382.0,1424.0,1480.0,879.0,866.0,860.0,758.0,592.0
221,:Portugal:,,,,,,,,,,,,,1247.0,1352.0,1103.0,1228.0,1661.0,1143.0,1294.0,1978.0,1153.0,1324.0,1724.0,1188.0,983.0,1109.0,730.0
222,:Cardiff_City_FC:,,,,,,,,,,,,,1245.0,1347.0,1835.0,2129.0,1323.0,1734.0,2084.0,994.0,,810.0,677.0,652.0,,,583.0
223,:Inter_Milan:,,,,,,,,,,,,,1180.0,,,,,,,,,,,,,,
224,:KV_Mechelen:,,,,,,,,,,,,,1172.0,796.0,889.0,,,,,,,,,658.0,,,
225,:Argentina:,,,,,,,,,,,,,1140.0,1736.0,709.0,1133.0,1690.0,1094.0,1242.0,1624.0,2992.0,747.0,821.0,1117.0,1112.0,1161.0,803.0
226,:Brighton_Hove_Albion:,,,,,,,,,,,,,1137.0,1310.0,1598.0,1309.0,1436.0,1071.0,2186.0,903.0,956.0,3169.0,2009.0,1256.0,2432.0,3387.0,2498.0
227,:Werder_Bremen:,,,,,,,,,,,,,1132.0,1371.0,1160.0,1413.0,1479.0,1700.0,2281.0,1539.0,905.0,1298.0,787.0,803.0,981.0,1238.0,830.0
228,:USA:,,,,,,,,,,,,,1112.0,812.0,719.0,1041.0,1297.0,1141.0,1382.0,3358.0,10919.0,1502.0,1559.0,1097.0,1110.0,1085.0,953.0
229,:Brazil:,,,,,,,,,,,,,1098.0,1084.0,647.0,787.0,1085.0,846.0,,1773.0,3520.0,819.0,984.0,946.0,641.0,920.0,826.0
230,:Croatia:,,,,,,,,,,,,,1028.0,674.0,,593.0,975.0,,,707.0,962.0,1003.0,1016.0,981.0,897.0,722.0,
231,:Toronto_FC:,,,,,,,,,,,,,984.0,1051.0,1162.0,1034.0,1222.0,1122.0,1157.0,1027.0,1032.0,1238.0,986.0,1018.0,1156.0,1002.0,1013.0
232,:Eintracht_Frankfurt:,,,,,,,,,,,,,979.0,1186.0,843.0,1243.0,2310.0,2179.0,2791.0,1514.0,,1422.0,1567.0,1017.0,1276.0,1484.0,836.0
233,:Wales:,,,,,,,,,,,,,858.0,758.0,821.0,613.0,,,,,,,,594.0,915.0,823.0,
234,:Portsmouth_FC:,,,,,,,,,,,,,857.0,1697.0,2459.0,1669.0,1963.0,2022.0,2354.0,1426.0,1099.0,1288.0,1216.0,825.0,1310.0,1177.0,2002.0
235,:Fulham:,,,,,,,,,,,,,823.0,877.0,1183.0,1081.0,1079.0,1002.0,1012.0,,,647.0,,,,,
236,:Atlanta_United_FC:,,,,,,,,,,,,,805.0,1413.0,679.0,868.0,881.0,649.0,1125.0,1611.0,2920.0,1340.0,1028.0,605.0,855.0,746.0,693.0
237,:Scotland:,,,,,,,,,,,,,803.0,769.0,646.0,651.0,971.0,828.0,921.0,806.0,,,,,,,
238,:FC_Schalke_04:,,,,,,,,,,,,,779.0,1215.0,891.0,1710.0,1281.0,946.0,1031.0,,853.0,,810.0,717.0,872.0,1048.0,725.0
239,:Wolverhampton_Wanderers_:,,,,,,,,,,,,,724.0,1044.0,1363.0,1411.0,1467.0,1359.0,2182.0,1617.0,1814.0,2480.0,1808.0,1514.0,1802.0,2144.0,2750.0
240,:Derby_County:,,,,,,,,,,,,,716.0,514.0,1097.0,607.0,,598.0,1414.0,765.0,888.0,769.0,946.0,985.0,,,
241,:Colombia:,,,,,,,,,,,,,714.0,921.0,537.0,745.0,905.0,,,1524.0,1865.0,872.0,652.0,,,,
242,:DC_United:,,,,,,,,,,,,,710.0,711.0,765.0,955.0,937.0,905.0,874.0,857.0,1609.0,827.0,,,856.0,,
243,:Middlesbrough_FC:,,,,,,,,,,,,,707.0,993.0,1308.0,1678.0,1583.0,1446.0,1995.0,1585.0,1522.0,1417.0,1060.0,983.0,1297.0,1197.0,1426.0
244,:Mexico:,,,,,,,,,,,,,633.0,976.0,708.0,854.0,1180.0,918.0,1017.0,1346.0,3642.0,1077.0,1066.0,,,,
245,:Feyenoord_Rotterdam:,,,,,,,,,,,,,578.0,754.0,,718.0,779.0,746.0,872.0,948.0,1000.0,999.0,1275.0,1774.0,1777.0,1858.0,1127.0
246,:Olympique_de_Marseille:,,,,,,,,,,,,,574.0,,,679.0,989.0,710.0,950.0,883.0,,,,,632.0,702.0,555.0
247,:Stoke_City_FC:,,,,,,,,,,,,,542.0,790.0,806.0,727.0,842.0,802.0,982.0,,,712.0,855.0,639.0,,,577.0
248,:Belgium:,,,,,,,,,,,,,526.0,571.0,637.0,685.0,1194.0,771.0,891.0,1100.0,,722.0,748.0,832.0,586.0,687.0,563.0
249,:Kashima_Antlers:,,,,,,,,,,,,,516.0,613.0,,,,,,,,,,,,,
250,:Australia:,,,,,,,,,,,,,511.0,941.0,1115.0,928.0,916.0,584.0,890.0,992.0,,793.0,645.0,646.0,685.0,671.0,653.0
251,:Marine_A:,,,,,,,,,,,,,467.0,,,1115.0,1487.0,,,,,,,,,,
252,:Besiktas:,,,,,,,,,,,,,466.0,499.0,,,795.0,674.0,795.0,1096.0,,774.0,1116.0,931.0,836.0,681.0,557.0
253,:Ipswich_Town:,,,,,,,,,,,,,463.0,780.0,924.0,,,639.0,1085.0,,889.0,952.0,,,,,893.0
254,:Hertha_BSC:,,,,,,,,,,,,,460.0,634.0,,,796.0,,,967.0,,746.0,914.0,798.0,676.0,,
255,:Sweden:,,,,,,,,,,,,,460.0,680.0,766.0,791.0,1113.0,777.0,853.0,792.0,1068.0,735.0,774.0,599.0,757.0,692.0,589.0
256,:Athletic_Bilbao:,,,,,,,,,,,,,454.0,631.0,,,,591.0,847.0,,,,,,,,
257,:Dinamo_Zagreb:,,,,,,,,,,,,,447.0,,,,,,,,,,993.0,752.0,671.0,,
258,:Bristol_City:,,,,,,,,,,,,,446.0,,,,687.0,710.0,1001.0,,,710.0,851.0,676.0,,,
259,:West_Bromwich_Albion:,,,,,,,,,,,,,,871.0,814.0,,,,919.0,,,,711.0,635.0,,,638.0
260,:Pakistan:,,,,,,,,,,,,,,823.0,614.0,,,661.0,895.0,,,,,,,,
261,:Galatasaray:,,,,,,,,,,,,,,807.0,704.0,795.0,994.0,,886.0,1229.0,851.0,1039.0,1740.0,1208.0,811.0,864.0,1045.0
262,Rwanda,,,,,,,,,,,,,,760.0,,,,,,,,,,,,,
263,:VfB_Stuttgart:,,,,,,,,,,,,,,743.0,603.0,1134.0,1210.0,873.0,947.0,833.0,,,,,624.0,,
264,:Bosnia_and_Herzegovina:,,,,,,,,,,,,,,679.0,,,,,,,,,,,,,
265,:Japan:,,,,,,,,,,,,,,666.0,708.0,,,,,,,,,,,,
266,:Italy:,,,,,,,,,,,,,,569.0,550.0,,705.0,709.0,,915.0,1368.0,748.0,815.0,,,947.0,782.0
267,:South_Korea:,,,,,,,,,,,,,,524.0,585.0,618.0,,792.0,,,,663.0,,,,826.0,789.0
268,:VfL_Wolfsburg:,,,,,,,,,,,,,,524.0,,,,,,,,,,,,,
269,:Swansea_City:,,,,,,,,,,,,,,522.0,726.0,841.0,798.0,766.0,1272.0,1233.0,,789.0,883.0,657.0,706.0,1724.0,1211.0
270,:Seattle_Sounders:,,,,,,,,,,,,,,515.0,,,,,,745.0,1234.0,,,,745.0,,
271,:Chile:,,,,,,,,,,,,,,510.0,,,,595.0,,858.0,2451.0,,,,,,
272,:Cork_City:,,,,,,,,,,,,,,507.0,,,1051.0,734.0,,,,671.0,,,,,
273,:Denmark:,,,,,,,,,,,,,,505.0,548.0,722.0,725.0,747.0,,,,,,,,1328.0,850.0
274,:Norway:,,,,,,,,,,,,,,501.0,615.0,799.0,,,,,,,,,,,
275,:Morecambe_FC:,,,,,,,,,,,,,,,1036.0,599.0,639.0,,1017.0,,,,,,,,
276,:Iran:,,,,,,,,,,,,,,,1029.0,,,,,,,,,,,,
277,:Huddersfield_Town:,,,,,,,,,,,,,,,996.0,799.0,,,847.0,,,,,,,,
278,:Burnley:,,,,,,,,,,,,,,,910.0,824.0,786.0,,1321.0,,,,750.0,644.0,795.0,764.0,768.0
279,:Norwich:,,,,,,,,,,,,,,,712.0,635.0,,724.0,1129.0,,,1204.0,934.0,565.0,,793.0,1215.0
280,:Saudi_Arabia:,,,,,,,,,,,,,,,663.0,,,,,,,,,,,,
281,:Queens_Park_Rangers:,,,,,,,,,,,,,,,645.0,603.0,,,,,,,,,,,
282,Błękitni Stargard,,,,,,,,,,,,,,,631.0,,,,,,,,,,,,
283,:Perth_Glory:,,,,,,,,,,,,,,,612.0,,,,,,,,,,,,
284,:Reading_FC:,,,,,,,,,,,,,,,570.0,,,,,,,,,,,,
285,:India:,,,,,,,,,,,,,,,555.0,,633.0,,,,,,,,,,
286,:Limerick_FC:,,,,,,,,,,,,,,,542.0,,,,,,,,,,,,
287,:Sao_Paulo:,,,,,,,,,,,,,,,521.0,692.0,,,,1021.0,1393.0,860.0,776.0,,,639.0,606.0
288,:FC_Zeljeznicar:,,,,,,,,,,,,,,,,1057.0,1481.0,1122.0,,,,1651.0,1290.0,,,,
289,:Real_Betis:,,,,,,,,,,,,,,,,975.0,,,899.0,740.0,,678.0,666.0,,,,
290,:AFC_Wimbledon:,,,,,,,,,,,,,,,,889.0,,,880.0,,,,,,,,
291,:English_Premier_League:,,,,,,,,,,,,,,,,694.0,,,1165.0,936.0,863.0,1021.0,1572.0,1148.0,1196.0,1584.0,1206.0
292,:Sporting_de_Gijon:,,,,,,,,,,,,,,,,681.0,670.0,,,,,,,,,,
293,:Fiorentina:,,,,,,,,,,,,,,,,643.0,,,,,,,,,,,
294,:Wrexham:,,,,,,,,,,,,,,,,,2885.0,1648.0,2653.0,945.0,,,,,,,
295,:Stade_Rennais:,,,,,,,,,,,,,,,,,993.0,,,,,,,,,,
296,:Netherlands:,,,,,,,,,,,,,,,,,758.0,862.0,1222.0,1412.0,1403.0,1303.0,1589.0,1342.0,1469.0,1398.0,702.0
297,:1_FC_Koln:,,,,,,,,,,,,,,,,,660.0,622.0,790.0,,,,,569.0,816.0,670.0,570.0
298,:Valencia:,,,,,,,,,,,,,,,,,632.0,703.0,846.0,999.0,,,,,,,
299,:Sparta_Rotterdam:,,,,,,,,,,,,,,,,,,1440.0,1299.0,2075.0,1085.0,,,,,,
300,:Rosenborg:,,,,,,,,,,,,,,,,,,756.0,,,,,,,,,
301,:Hereford:,,,,,,,,,,,,,,,,,,752.0,,,,744.0,,607.0,650.0,,
302,:Macclesfield_Town:,,,,,,,,,,,,,,,,,,603.0,,,,,,,,,
303,:Sheffield_United:,,,,,,,,,,,,,,,,,,,887.0,,,1053.0,,693.0,883.0,829.0,1128.0
304,:Chad:,,,,,,,,,,,,,,,,,,,886.0,987.0,967.0,,,,598.0,719.0,594.0
305,:Blackburn_Rovers:,,,,,,,,,,,,,,,,,,,839.0,,,,,,,,
306,:Brentford_FC:,,,,,,,,,,,,,,,,,,,797.0,,,,,,,,
307,:England_flag:,,,,,,,,,,,,,,,,,,,,2719.0,3483.0,823.0,,957.0,903.0,,
308,:France_flag:,,,,,,,,,,,,,,,,,,,,2293.0,3071.0,,,,,,
309,:USA_flag:,,,,,,,,,,,,,,,,,,,,1425.0,2454.0,,,,,,
310,:Germany_flag:,,,,,,,,,,,,,,,,,,,,1111.0,970.0,,,,,,
311,:Portland_Timbers:,,,,,,,,,,,,,,,,,,,,812.0,1543.0,,,,,,
312,:Nigeria:,,,,,,,,,,,,,,,,,,,,757.0,1339.0,,,,,,
313,:CONMEBOL:,,,,,,,,,,,,,,,,,,,,753.0,,,,,,,
314,:New_York_City:,,,,,,,,,,,,,,,,,,,,707.0,1146.0,,,611.0,,,
315,:New_England_Revolution:,,,,,,,,,,,,,,,,,,,,,1235.0,,,,627.0,,
316,:1899_Hoffenheim:,,,,,,,,,,,,,,,,,,,,,1168.0,1583.0,2182.0,2749.0,3268.0,3388.0,4224.0
317,:Palmeiras:,,,,,,,,,,,,,,,,,,,,,1114.0,,,,,,
318,:Netherlands_flag:,,,,,,,,,,,,,,,,,,,,,1052.0,,,,,,
319,:Club_America:,,,,,,,,,,,,,,,,,,,,,964.0,,,,,,
320,:Flamengo:,,,,,,,,,,,,,,,,,,,,,960.0,,903.0,,,1137.0,1164.0
321,:Internacional:,,,,,,,,,,,,,,,,,,,,,937.0,,,,,,
322,:Columbus_Crew:,,,,,,,,,,,,,,,,,,,,,874.0,,,,,,
323,:FC_Dallas:,,,,,,,,,,,,,,,,,,,,,874.0,,,,,,
324,:Scotland_flag:,,,,,,,,,,,,,,,,,,,,,852.0,,,,,,
325,:UEFA:,,,,,,,,,,,,,,,,,,,,,,1464.0,1424.0,1740.0,2399.0,1415.0,648.0
326,:Fenerbahce_SK:,,,,,,,,,,,,,,,,,,,,,,751.0,735.0,,,,
327,:North_Korea:,,,,,,,,,,,,,,,,,,,,,,709.0,,,,,
328,:Bohemian:,,,,,,,,,,,,,,,,,,,,,,699.0,766.0,,,,
329,:Heart_of_Midlothian_FC:,,,,,,,,,,,,,,,,,,,,,,,1990.0,1334.0,1646.0,631.0,
330,:Mauritania:,,,,,,,,,,,,,,,,,,,,,,,1295.0,,,,
331,:Paris_FC:,,,,,,,,,,,,,,,,,,,,,,,976.0,1444.0,810.0,1082.0,568.0
332,:Club_Brugge:,,,,,,,,,,,,,,,,,,,,,,,956.0,738.0,595.0,,
333,:RB_Leipzig:,,,,,,,,,,,,,,,,,,,,,,,894.0,1090.0,,,
334,:Club_Tijuana:,,,,,,,,,,,,,,,,,,,,,,,857.0,575.0,,,
335,:Bolton_Wanderers:,,,,,,,,,,,,,,,,,,,,,,,793.0,,,,
336,:Hashtag_United:,,,,,,,,,,,,,,,,,,,,,,,757.0,946.0,1154.0,,
337,:Red_Star_Belgrade:,,,,,,,,,,,,,,,,,,,,,,,710.0,,,,
338,:Scottish_Challenge_Cup:,,,,,,,,,,,,,,,,,,,,,,,,798.0,,,
339,:SV_Werder_Bremen:,,,,,,,,,,,,,,,,,,,,,,,,634.0,591.0,615.0,
340,:Copa_Libertadores:,,,,,,,,,,,,,,,,,,,,,,,,615.0,,,
341,:FK_Austria_Wien:,,,,,,,,,,,,,,,,,,,,,,,,600.0,,,
342,:Polish_FA:,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,1047.0,1054.0
343,:Algeria:,,,,,,,,,,,,,,,,,,,,,,,,,871.0,,
344,:Everton_Vina_del_Mar:,,,,,,,,,,,,,,,,,,,,,,,,,755.0,,
345,:English_FA:,,,,,,,,,,,,,,,,,,,,,,,,,644.0,,
346,:Bristol_Rovers:,,,,,,,,,,,,,,,,,,,,,,,,,606.0,833.0,929.0
347,:VVV_Venlo:,,,,,,,,,,,,,,,,,,,,,,,,,602.0,870.0,837.0
348,:FC_Dynamo_Moscow:,,,,,,,,,,,,,,,,,,,,,,,,,,897.0,1538.0
349,:Inter_Milan::,,,,,,,,,,,,,,,,,,,,,,,,,,801.0,620.0
350,:CSKA_Sofia:,,,,,,,,,,,,,,,,,,,,,,,,,,759.0,
351,:Uruguay:,,,,,,,,,,,,,,,,,,,,,,,,,,677.0,642.0
352,:AFC_Bournemouth:,,,,,,,,,,,,,,,,,,,,,,,,,,649.0,
353,:Guangzhou_Evergrande:,,,,,,,,,,,,,,,,,,,,,,,,,,639.0,
354,:AZ_Alkmaar:,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,
355,:SK_Rapid_Wien:,,,,,,,,,,,,,,,,,,,,,,,,,,,819.0
356,:Tuvaluan_A-Division:,,,,,,,,,,,,,,,,,,,,,,,,,,,703.0
357,:Scarborough_Athletic:,,,,,,,,,,,,,,,,,,,,,,,,,,,686.0
358,:Deportivo_Wanka:,,,,,,,,,,,,,,,,,,,,,,,,,,,571.0
359,:Lazio:,,,,,,,,,,,,,,,,,,,,,,,,,,,549.0
