Manchester United,:Manchester_United:
Liverpool,:Liverpool:
Real Madrid,:Real_Madrid:
Chelsea,:Chelsea:
Arsenal,:Arsenal:
Tottenham Hotspur,:Tottenham_Hotspur:
Juventus,:Juventus:
Manchester City,:Manchester_City:
Borussia Dortmund,:Borussia_Dortmund:
Everton,:Everton:
Sunderland,:Sunderland:
Ajax,:Ajax:
Newcastle United,:Newcastle_United:
AC Milan,:AC_Milan:
Benfica,:Benfica:
England,:England:
Celtic,:Celtic:
Republic of Ireland,:Republic_of_Ireland:
Valencia,:Valencia:
West Ham United,:West_Ham_United:
Napoli,:Napoli:
Southampton,:Southampton:
Internazionale,:Internazionale:
Germany,:Germany:
Paris Saint-Germain,:Paris_Saint-Germain:
Werder Bremen,:Werder_Bremen:
AS Roma,:AS_Roma:
Leeds United,:Leeds_United:
Portugal,:Portugal:
France,:France:
Colombia,:Colombia:
Olympique Lyonnais,:Olympique_Lyonnais:
Aston Villa,:Aston_Villa:
KV Mechelen,:KV_Mechelen:
Mexico,:Mexico:
Toronto FC,:Toronto_FC:
Wales,:Wales:
Swansea City,:Swansea_City:
FC Porto,:FC_Porto:
Rangers,:Rangers:
Spain,:Spain:
Boca Juniors,:Boca_Juniors:
Italy,:Italy:
PSV Eindhoven,:PSV_Eindhoven:
VfB Stuttgart,:VfB_Stuttgart:
Argentina,:Argentina:
AFC Wimbledon,:AFC_Wimbledon:
West Bromwich Albion,:West_Bromwich_Albion:
Dinamo Zagreb,:Dinamo_Zagreb:
River Plate,:River_Plate:
Galatasaray,:Galatasaray:
Brazil,:Brazil:
Eintracht Frankfurt,:Eintracht_Frankfurt:
Sheffield United,:Sheffield_United:
Seattle Sounders,:Seattle_Sounders:
Palmeiras,:Palmeiras:
Australia,:Australia:
Flamengo,:Flamengo:
Nigeria,:Nigeria:
Hertha BSC,:Hertha_BSC:
Derby County,:Derby_County:
Fulham,:Fulham:
Bristol City,:Bristol_City:
Atlanta United FC,:Atlanta_United_FC:
Huddersfield Town,:Huddersfield_Town:
Chile,:Chile:
Iran,:Iran:
Olympique de Marseille,:Olympique_de_Marseille:
New England Revolution,:New_England_Revolution:
Belgium,:Belgium:
Sweden,:Sweden:
Lazio,:Lazio:
Ṣo Paulo,:Sao_Paulo:
Club Brugge,:Club_Brugge:
Scotland,:Scotland:
RB Leipzig,:RB_Leipzig:
Denmark,:Denmark:
Macclesfield Town,:Macclesfield_Town:
South Korea,:South_Korea:
Ipswich Town,:Ipswich_Town:
Bolton Wanderers,:Bolton_Wanderers:
Croatia,:Croatia:
Uruguay,:Uruguay:
Japan,:Japan:
India,:India:
DC United,:DC_United:
Burnley,:Burnley:
Rosenborg,:Rosenborg:
Portland Timbers,:Portland_Timbers:
Atl̩tico Madrid,:Atletico_Madrid:
New York City FC,:New_York_City:
Sporting Clube de Portugal,:Sporting_Clube_de_Portug:
Crystal Palace,:Crystal_Palace_FC:
Schalke 04,:FC_Schalke_04:
Bohemians,:Bohemian:
Leicester City,:Leicester_City_FC:
Stoke City,:Stoke_City_FC:
Cardiff City,:Cardiff_City_FC:
1. FC K̦ln,:1_FC_Koln:
Brighton &amp; Hove Albion,:Brighton_Hove_Albion:
Barcelona,:FC_Barcelona:
Watford,:Watford_FC:
Middlesbrough,:Middlesbrough_FC:
Portsmouth,:Portsmouth_FC:
Reading,:Reading_FC:
Morecambe,:Morecambe_FC:
Bosnia-Herzegovina,:Bosnia_and_Herzegovina:
Bournemouth,:AFC_Bournemouth:
Mansfield Town,:Macclesfield_Town:
Feyenoord,:Feyenoord_Rotterdam:
The Netherlands,:Netherlands:
Marine,:Marine_A:
Fenerbah̤e,:Fenerbahce_SK:
Am̩rica,:Club_America:
